         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.001    0.000    0.228    0.014 docsim.py:522(load)
       16    0.000    0.000    0.229    0.014 docsim.py:89(get_index)
       16    0.000    0.000    0.461    0.029 docsim.py:94(__getitem__)
       48    0.001    0.000    0.002    0.000 format.py:173(read_magic)
       48    0.003    0.000    0.186    0.004 format.py:288(read_array_header_1_0)
       48    0.002    0.000    0.213    0.004 format.py:470(open_memmap)
       48    0.001    0.000    0.005    0.000 fromnumeric.py:1579(all)
      288    0.001    0.000    0.001    0.000 fromnumeric.py:2116(rank)
       48    0.001    0.000    0.004    0.000 fromnumeric.py:32(_wrapit)
       16    0.000    0.000    0.003    0.000 fromnumeric.py:598(argsort)
        1    0.000    0.000    0.000    0.000 future.py:16(FutureParser)
        1    0.000    0.000    0.000    0.000 future.py:3(<module>)
        1    0.000    0.000    0.000    0.000 future.py:47(BadFutureParser)
    37952    0.202    0.000    2.602    0.000 genericpath.py:15(exists)
       16    0.000    0.000    0.000    0.000 interfaces.py:104(__init__)
       16    0.000    0.000    0.000    0.000 interfaces.py:143(_apply)
       16    0.001    0.000    0.232    0.014 interfaces.py:178(__getitem__)
    37952    0.397    0.000    5.305    0.000 internals.py:29(convert_regexp_to_nongrouping)
   113856    0.762    0.000    2.965    0.000 internals.py:48(subfunc)
       32    0.000    0.000    0.001    0.000 matutils.py:117(ismatrix)
       16    0.004    0.000    0.008    0.000 matutils.py:146(full2sparse_clipped)
       32    0.001    0.000    0.012    0.000 matutils.py:223(unitvec)
     1952    0.005    0.000    0.005    0.000 matutils.py:253(<genexpr>)
       16    0.001    0.000    0.008    0.001 matutils.py:47(corpus2csc)
       48    0.005    0.000    0.018    0.000 memmap.py:178(__new__)
       48    0.000    0.000    0.001    0.000 memmap.py:254(__array_finalize__)
       48    0.000    0.000    0.004    0.000 memmap.py:281(_close)
       48    0.000    0.000    0.004    0.000 memmap.py:290(__del__)
        1    0.000    0.000    0.000    0.000 misc.py:11(Set)
        2    0.000    0.000    0.000    0.000 misc.py:12(__init__)
        9    0.000    0.000    0.000    0.000 misc.py:18(add)
        1    0.000    0.000    0.000    0.000 misc.py:2(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:31(Stack)
       48    0.002    0.000    0.222    0.005 npyio.py:265(load)
    75952    0.202    0.000    0.202    0.000 ntpath.py:122(splitdrive)
    38000    1.703    0.000    3.152    0.000 ntpath.py:398(normpath)
    38000    0.298    0.000    3.935    0.000 ntpath.py:466(abspath)
    37952    0.200    0.000    0.300    0.000 ntpath.py:55(isabs)
