         47362941 function calls in 230.911 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 {getattr}
   453376    0.934    0.000    0.934    0.000 {isinstance}
   158578    0.678    0.000    0.678    0.000 {iter}
10159340/10159125   18.757    0.000   18.758    0.000 {len}
      130    0.000    0.000    0.000    0.000 {max}
    25716    0.052    0.000    0.052    0.000 {method 'add' of 'set' objects}
 13836164   26.432    0.000   26.432    0.000 {method 'append' of 'list' objects}
     1506    0.106    0.000    0.106    0.000 {method 'clear' of 'dict' objects}
       32    0.081    0.003    0.081    0.003 {method 'close' of 'file' objects}
       16    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    74040    0.207    0.000    0.207    0.000 {method 'endswith' of 'unicode' objects}
  1096068    2.292    0.000    2.292    0.000 {method 'get' of 'dict' objects}
     3291    0.010    0.000    0.010    0.000 {method 'index' of 'list' objects}
   150542    0.298    0.000    0.298    0.000 {method 'items' of 'dict' objects}
   157270    0.419    0.000    0.419    0.000 {method 'join' of 'str' objects}
   342750  146.948    0.000  146.948    0.000 {method 'lower' of 'str' objects}
     6860    0.015    0.000    0.015    0.000 {method 'lower' of 'unicode' objects}
       15    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
     3291    0.064    0.000    0.064    0.000 {method 'readline' of 'file' objects}
       53    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
    30896    0.076    0.000    0.076    0.000 {method 'replace' of 'str' objects}
     3291    0.019    0.000    0.019    0.000 {method 'seek' of 'file' objects}
       16    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
   171186    1.005    0.000    1.005    0.000 {method 'split' of 'str' objects}
   163707    0.394    0.000    0.394    0.000 {method 'startswith' of 'str' objects}
    16133    0.041    0.000    0.041    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       48    0.003    0.000    0.003    0.000 {method 'write' of 'file' objects}
   301846    0.753    0.000    0.753    0.000 {min}
       15    0.000    0.000    0.000    0.000 {nt._getfullpathname}
       30    0.004    0.000    0.004    0.000 {nt.stat}
       45    0.007    0.000    0.007    0.000 {open}
  3935760    7.341    0.000    7.341    0.000 {ord}
   150583    0.526    0.000    0.526    0.000 {range}
   
   
         11841773 function calls in 168.905 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  168.905  168.905 <string>:1(<module>)
        4    0.867    0.217  168.905   42.226 cyttron.py:171(wordMatch)
        1    0.000    0.000  168.905  168.905 cyttron.py:343(listWordMatch)
    37632    0.313    0.000   91.291    0.002 re.py:169(findall)
    37632    1.038    0.000    1.347    0.000 re.py:206(escape)
    37632    0.775    0.000   51.664    0.001 re.py:229(_compile)
